"index","rank","dim","error"
1,2,4,97.9991395976497
1,3,4,37.3478730306885
1,4,4,23.4926637642294
1,5,4,16.3126223493122
1,6,4,11.2912304062729
1,7,4,9.28256956895253e-14
2,2,5,105.472414355301
2,3,5,65.2224937242817
2,4,5,49.3211629347327
2,5,5,40.1201557910888
2,6,5,26.198173403151
2,7,5,1.56245660047311e-13
3,2,3,17.054785813553
3,3,3,11.5586082128243
3,4,3,8.67302185825841
3,5,3,6.53734564827899
3,6,3,3.62148940081384
3,7,3,8.99114113409418e-14
4,2,2,7.90581893937482
4,3,2,4.51901097692321
4,4,2,1.56854525937524
4,5,2,0.838415464987931
4,6,2,0.249378290808985
4,7,2,6.73952242226728e-14
5,2,2,23.3050539286995
5,3,2,12.2438316577999
5,4,2,5.33125776688118
5,5,2,3.47314605912801
5,6,2,0.0989804000751858
5,7,2,6.52124967600094e-14
6,2,3,13.5290437013677
6,3,3,10.773308124474
6,4,3,7.72388858662696
6,5,3,5.21814386761867
6,6,3,3.22429121676726
6,7,3,4.90493617707233e-14
7,2,4,64.8487577135001
7,3,4,21.0799611730084
7,4,4,17.9433487017981
7,5,4,13.2630157706942
7,6,4,8.91036747271494
7,7,4,8.83606699103661e-14
8,2,5,76.0738263982504
8,3,5,22.0479283087281
8,4,5,16.5103128961753
8,5,5,12.8981580815018
8,6,5,7.1821451524664
8,7,5,4.27580635435993e-14
9,2,3,41.5455792965708
9,3,3,29.9383997319474
9,4,3,23.0729743023365
9,5,3,16.8198749710459
9,6,3,11.1155102851325
9,7,3,7.04969780979389e-14
10,2,2,27.4519495750309
10,3,2,19.1773351435241
10,4,2,13.4716778598397
10,5,2,8.00383277153395
10,6,2,4.29529077559897
10,7,2,5.28926738644643e-14
11,2,4,28.0312074721308
11,3,4,21.2938021135897
11,4,4,14.9361730598129
11,5,4,11.0606409426036
11,6,4,7.04969913936271
11,7,4,4.55836730299386e-14
12,2,5,148.088106457353
12,3,5,65.0008875768093
12,4,5,32.5646587472341
12,5,5,27.4711505044864
12,6,5,18.0493236540281
12,7,5,1.37073544167694e-13
13,2,3,28.9163765132382
13,3,3,19.6085618814957
13,4,3,15.7501384287908
13,5,3,9.91515628001019
13,6,3,5.56611284430307
13,7,3,6.42220045865115e-14
14,2,2,8.53194783349959
14,3,2,6.00912921412772
14,4,2,2.66674592770082
14,5,2,1.23592751242627
14,6,2,0.702197323028707
14,7,2,4.13672439225393e-14
15,2,2,16.2073159654492
15,3,2,9.38744962360757
15,4,2,4.0941660734812
15,5,2,1.67264569349127
15,6,2,1.03453634385182
15,7,2,3.53382317144241e-14
16,2,3,40.4004234777874
16,3,3,22.978473841757
16,4,3,15.9221064525155
16,5,3,12.5682900919729
16,6,3,7.77505416460704
16,7,3,7.57822955183416e-14
17,2,4,35.6007856586186
17,3,4,23.5142060349998
17,4,4,20.2228094142474
17,5,4,14.7585719615782
17,6,4,10.2136100645015
17,7,4,6.24039497209706e-14
18,2,5,139.899181672117
18,3,5,70.5449791216881
18,4,5,39.7571650617262
18,5,5,27.4031252951318
18,6,5,19.348440587541
18,7,5,1.77564767251873e-13
19,2,3,13.4105330997537
19,3,3,10.4698709933882
19,4,3,7.7431367804662
19,5,3,5.13892481847191
19,6,3,2.95991336194026
19,7,3,3.10996648945949e-14
20,2,2,18.8482669418368
20,3,2,13.2523580096051
20,4,2,7.09757503362508
20,5,2,4.04773640077799
20,6,2,1.9208647917257
20,7,2,4.98923841892232e-14
