"index","rank","dim","error"
1,2,4,97.9888777050575
1,3,4,36.2956536389231
1,4,4,23.3904423269631
1,5,4,15.9528002819178
1,6,4,11.4905428545036
1,7,4,5.25025978405937e-08
2,2,5,97.1208986241227
2,3,5,61.4536198244799
2,4,5,49.8649201681189
2,5,5,40.3929317417545
2,6,5,26.3624048079162
2,7,5,6.57924449376786e-08
3,2,3,18.3038687162968
3,3,3,11.6997686153648
3,4,3,8.81479275727948
3,5,3,6.64624484329716
3,6,3,3.6273733410932
3,7,3,3.94754498785533e-08
4,2,2,8.74399300387117
4,3,2,5.75792632461909
4,4,2,2.93885715706584
4,5,2,2.27272138941433
4,6,2,0.252293023982561
4,7,2,5.25335377901029e-06
5,2,2,28.1988593069135
5,3,2,17.2888785886725
5,4,2,5.3341121640787
5,5,2,3.47634803571154
5,6,2,9.69132266239452
5,7,2,1.2953378429205e-06
6,2,3,23.2762813143673
6,3,3,15.2527518782126
6,4,3,8.43575668442249
6,5,3,5.2805925623193
6,6,3,3.28076084120456
6,7,3,7.1057153508457e-08
7,2,4,64.2445106784708
7,3,4,23.5490438687494
7,4,4,20.4347459010996
7,5,4,13.4826704685712
7,6,4,9.36142633242319
7,7,4,2.76675910516135e-08
8,2,5,78.390195664607
8,3,5,20.179709052057
8,4,5,16.2015398177503
8,5,5,12.901481492401
8,6,5,7.15296079862615
8,7,5,2.4540279025545e-08
9,2,3,42.154142676788
9,3,3,31.1488686768148
9,4,3,23.8901181816566
9,5,3,23.7186865561677
9,6,3,11.1304547447066
9,7,3,2.49799149902042e-06
10,2,2,33.9955568198414
10,3,2,19.5127123807
10,4,2,14.3028206692391
10,5,2,8.56164109652906
10,6,2,18.0974522961555
10,7,2,0.0518855350589081
11,2,4,27.7416980191029
11,3,4,21.2640366493673
11,4,4,15.1223125099792
11,5,4,11.5750345183019
11,6,4,7.45589381406086
11,7,4,4.47658118739977e-06
12,2,5,158.396663616943
12,3,5,62.2177458495905
12,4,5,33.4007721881738
12,5,5,27.4714252123711
12,6,5,18.0375357020228
12,7,5,3.8789698446703e-08
13,2,3,37.0556157978406
13,3,3,23.2594709813439
13,4,3,16.439019127814
13,5,3,9.98727620111984
13,6,3,5.64749594501001
13,7,3,7.14516584845701e-07
14,2,2,22.1337731718893
14,3,2,9.35429849164661
14,4,2,4.06520109024971
14,5,2,1.33401362968005
14,6,2,0.702768018506223
14,7,2,8.07474463529008e-08
15,2,2,16.7711806456516
15,3,2,10.0555764140866
15,4,2,4.39064826610394
15,5,2,1.67792627271235
15,6,2,1.48169687769219
15,7,2,3.28614860613423e-08
16,2,3,42.7296774242802
16,3,3,22.8982978212093
16,4,3,16.1781962678826
16,5,3,12.9485151046471
16,6,3,7.78463845276759
16,7,3,5.68372440242565e-08
17,2,4,35.9354485744213
17,3,4,24.0585473081103
17,4,4,20.6397106169865
17,5,4,15.4964154684112
17,6,4,10.5336101095712
17,7,4,5.15980545527514e-08
18,2,5,139.444015372518
18,3,5,68.4933788670133
18,4,5,39.112272943429
18,5,5,27.5320587836044
18,6,5,19.6200821593912
18,7,5,5.40094135367957e-08
19,2,3,17.5332446094061
19,3,3,13.4269917511626
19,4,3,9.85166520850827
19,5,3,6.64493224971432
19,6,3,2.96130413680087
19,7,3,2.41464325699579e-08
20,2,2,19.1597708196472
20,3,2,13.6822364002511
20,4,2,9.95318819950333
20,5,2,4.27859843521201
20,6,2,6.12888314684941
20,7,2,4.54072792581106e-08
